FAMILY,Freq
PTHR10072,10
PTHR10083,7
PTHR10131,9
PTHR10151,8
PTHR10245,10
PTHR10290,9
PTHR10293,10
PTHR10306,10
PTHR10358,10
PTHR10484,8
PTHR10544,10
PTHR10553,10
PTHR10554,10
PTHR10634,10
PTHR10662,9
PTHR10666,10
PTHR10772,10
PTHR10809,10
PTHR10811,10
PTHR10824,9
PTHR10869,10
PTHR10903,10
PTHR10921,10
PTHR10924,9
PTHR10962,7
PTHR11010,10
PTHR11024,9
PTHR11034,10
PTHR11073,10
PTHR11082,10
PTHR11143,10
PTHR11183,10
PTHR11214,9
PTHR11241,10
PTHR11258,10
PTHR11371,10
PTHR11374,10
PTHR11431,10
PTHR11449,10
PTHR11475,10
PTHR11502,10
PTHR11515,10
PTHR11528,10
PTHR11533,7
PTHR11544,10
PTHR11639,8
PTHR11640,9
PTHR11655,10
PTHR11710,10
PTHR11727,10
PTHR11738,10
PTHR11843,10
PTHR11875,10
PTHR11886,10
PTHR11904,9
PTHR11908,10
PTHR11921,10
PTHR12010,10
PTHR12013,10
PTHR12046,10
PTHR12203,7
PTHR12219,10
PTHR12258,10
PTHR12309,10
PTHR12317,10
PTHR12322,7
PTHR12377,10
PTHR12430,10
PTHR12441,10
PTHR12448,10
PTHR12479,10
PTHR12538,9
PTHR12587,9
PTHR12638,10
PTHR12669,10
PTHR12688,10
PTHR12832,10
PTHR12843,10
PTHR12928,10
PTHR13042,9
PTHR13046,10
PTHR13168,10
PTHR13232,9
PTHR13259,10
PTHR13291,9
PTHR13336,10
PTHR13382,10
PTHR13456,10
PTHR13457,10
PTHR13502,9
PTHR13523,10
PTHR13722,10
PTHR13809,10
PTHR13813,10
PTHR13848,10
PTHR13924,10
PTHR13943,10
PTHR13946,10
PTHR13968,10
PTHR13987,10
PTHR13989,10
PTHR14003,10
PTHR14054,10
PTHR14081,9
PTHR14145,10
PTHR14299,10
PTHR14339,10
PTHR14356,9
PTHR14399,10
PTHR14493,10
PTHR14741,10
PTHR14754,8
PTHR14889,9
PTHR14932,10
PTHR14987,7
PTHR15029,10
PTHR15049,10
PTHR15096,9
PTHR15123,9
PTHR15124,10
PTHR15192,9
PTHR15222,10
PTHR15296,9
PTHR15420,10
PTHR15451,10
PTHR15556,7
PTHR15581,10
PTHR15922,10
PTHR15967,10
PTHR16076,10
PTHR16088,9
PTHR16146,7
PTHR16148,10
PTHR16171,9
PTHR16260,10
PTHR16423,10
PTHR16501,10
PTHR16675,9
PTHR16716,10
PTHR16742,9
PTHR16771,10
PTHR17005,10
PTHR17070,10
PTHR17098,10
PTHR17102,10
PTHR19269,10
PTHR19424,9
PTHR19944,9
PTHR19970,10
PTHR20515,9
PTHR20968,9
PTHR20981,9
PTHR20995,10
PTHR21184,7
PTHR21227,9
PTHR21341,10
PTHR21399,10
PTHR21517,10
PTHR21520,10
PTHR21713,10
PTHR21732,10
PTHR21738,10
PTHR22605,10
PTHR22618,10
PTHR22913,10
PTHR23102,9
PTHR23111,10
PTHR23115,10
PTHR23158,10
PTHR23194,9
PTHR23212,10
PTHR23226,8
PTHR23260,10
PTHR23282,10
PTHR23318,7
PTHR23324,8
PTHR23333,10
PTHR23338,10
PTHR23348,10
PTHR23415,10
PTHR23424,9
PTHR24018,10
PTHR24033,10
PTHR24044,10
PTHR24050,10
PTHR24064,10
PTHR24068,10
PTHR24071,9
PTHR24103,7
PTHR24221,10
PTHR24242,9
PTHR24244,10
PTHR24281,10
PTHR24299,10
PTHR24300,10
PTHR24368,10
PTHR24376,9
PTHR24410,9
PTHR26450,9
PTHR26451,7
PTHR26452,10
PTHR28603,10
PTHR31046,10
PTHR31054,9
PTHR31094,10
PTHR31107,10
PTHR31368,10
PTHR31663,10
PTHR31813,10
PTHR31841,10
PTHR31866,9
PTHR31905,10
PTHR31940,10
PTHR32014,10
PTHR32017,10
PTHR33589,7
PTHR33668,10
PTHR33721,9
PTHR34038,9
PTHR35860,10
PTHR35971,10
PTHR35974,10
PTHR36296,10
PTHR36874,10
PTHR37457,10
PTHR37875,10
PTHR37876,10
PTHR38495,10
PTHR40708,10
PTHR40711,10
PTHR40714,10
PTHR42693,8
PTHR42912,10
PTHR43172,10
PTHR43176,10
PTHR43243,9
PTHR43340,10
PTHR43429,10
PTHR43775,10
PTHR43795,10
PTHR43836,10
PTHR43899,7
PTHR43948,10
PTHR45638,9
PTHR45690,10
PTHR45715,9
PTHR45739,10
PTHR45822,10
PTHR45869,10
PTHR45871,10
PTHR45981,9
PTHR46006,10
PTHR46090,9
PTHR46131,9
PTHR46141,10
PTHR46346,10
PTHR46468,9
PTHR46490,7
PTHR46542,10
PTHR46742,10
PTHR46780,7
PTHR46945,9
PTHR47106,10
PTHR47115,10
PTHR47174,10
PTHR47617,10
PTHR47729,10
PTHR47884,10
PTHR48034,9
PTHR48068,10
