FAMILY,Bbub_pvalues
PTHR24376,0.000209606 
PTHR20515,0.000391495 
PTHR13809,0.00335128 
PTHR24221,0.00398601 
PTHR10903,0.00617602 
PTHR11875,0.00699667 
PTHR26452,0.00732533 
PTHR23226,0.0101871 
PTHR24300,0.0138744 
PTHR24064,0.0161664 
PTHR10772,0.0166748 
PTHR12441,0.0166748 
PTHR13046,0.0166748 
PTHR13259,0.0166748 
PTHR13722,0.0166748 
PTHR13813,0.0166748 
PTHR14054,0.0166748 
PTHR14299,0.0166748 
PTHR15029,0.0166748 
PTHR15222,0.0166748 
PTHR16771,0.0166748 
PTHR17070,0.0166748 
PTHR17102,0.0166748 
PTHR21341,0.0166748 
PTHR21520,0.0166748 
PTHR21738,0.0166748 
PTHR24018,0.0166748 
PTHR24033,0.0166748 
PTHR24244,0.0166748 
PTHR31094,0.0166748 
PTHR31107,0.0166748 
PTHR31368,0.0166748 
PTHR32014,0.0166748 
PTHR33668,0.0166748 
PTHR35971,0.0166748 
PTHR35974,0.0166748 
PTHR36296,0.0166748 
PTHR36874,0.0166748 
PTHR37875,0.0166748 
PTHR37876,0.0166748 
PTHR38495,0.0166748 
PTHR40708,0.0166748 
PTHR40711,0.0166748 
PTHR40714,0.0166748 
PTHR45871,0.0166748 
PTHR47106,0.0166748 
PTHR47174,0.0166748 
PTHR47617,0.0166748 
PTHR47884,0.0166748 
PTHR24068,0.0185864 
PTHR16675,0.0265288 
PTHR10290,0.0328576 
PTHR11024,0.0328576 
PTHR11904,0.0328576 
PTHR12538,0.0328576 
PTHR13042,0.0328576 
PTHR13232,0.0328576 
PTHR13291,0.0328576 
PTHR13502,0.0328576 
PTHR14356,0.0328576 
PTHR14889,0.0328576 
PTHR15096,0.0328576 
PTHR15192,0.0328576 
PTHR15296,0.0328576 
PTHR16088,0.0328576 
PTHR16171,0.0328576 
PTHR16742,0.0328576 
PTHR19424,0.0328576 
PTHR20968,0.0328576 
PTHR20981,0.0328576 
PTHR21227,0.0328576 
PTHR23102,0.0328576 
PTHR23194,0.0328576 
PTHR23424,0.0328576 
PTHR24071,0.0328576 
PTHR31054,0.0328576 
PTHR33721,0.0328576 
PTHR34038,0.0328576 
PTHR45715,0.0328576 
PTHR45981,0.0328576 
PTHR46131,0.0328576 
PTHR46468,0.0328576 
PTHR46945,0.0328576 
PTHR24103,0.0384212 
PTHR26451,0.0399927 
PTHR10962,0.0485655 
PTHR12203,0.0485655 
PTHR14987,0.0485655 
PTHR15556,0.0485655 
PTHR16146,0.0485655 
PTHR21184,0.0485655 
PTHR23318,0.0485655 
PTHR33589,0.0485655 
PTHR43899,0.0485655 
PTHR46490,0.0485655 
PTHR46780,0.0485655 
